3600	12.82315378	0	0.001643814
7200	12.82097176	0	0.001645412
10800	12.81729368	0	0.001648819
14400	12.8133024	0	0.001651787
18000	12.80748824	0	0.001656774
21600	12.80387015	0	0.001659108
25200	12.80128721	0	0.001662224
28800	12.79600977	0	0.001666038
32400	12.79083808	0	0.001671347
36000	12.79067369	0	0.001671057
39600	12.78526134	0	0.001674897
43200	12.78379775	0	0.001676854
46800	12.78233763	0	0.001677674
50400	12.77422617	0	0.001684253
54000	12.77023238	0	0.001688024
57600	12.77020394	0	0.001688018
