14483	999419.7184
15683	1273122.16
16883	1127439.187
18083	1112544.551
19283	714791.0541
20483	1065296.712
21683	930693.6648
22883	835743.5623
24083	800341.9317
25283	848546.5116
26483	824908.6697
27683	659952.7756
28883	715195.3577
30083	652467.032
31283	684934.955
32483	641517.4196
33683	632365.4549
34883	754259.1108
36083	544393.2104
37283	427287.7127
38483	469071.3267
39683	509303.4394
40883	533168.4933
42083	477442.5287
43283	543542.2792
44483	351555.9565
45683	465938.2518
46883	402219.7719
48083	384705.5155
49283	320738.6617
50483	298129.9563
51683	264363.361
52883	291940.6576
54083	291363.7174
55283	316480.6647
56483	254769.2239
57683	237478.8381
58883	290834.6699
60083	274044.3732
61283	189003.6087
62483	145894.5915
63683	235886.1267
64883	225067.9408
66083	146901.4524
67283	159245.5226
68483	144689.477
69683	96817.58442
70883	168566.7825
72083	144266.239
73283	77270.44908
74483	154795.9547
75683	87889.37895
76883	106096.8547
78083	46657.86777
79283	136365.0539
80483	62585.76138
81683	28062.79515
82883	99024.77056
84083	40632.29529
85283	92145.03698
86483	45899.0466
87683	87979.4841
88883	49705.18132
90083	35970.55155
91283	72204.51305
92483	78295.68743
93683	45413.77083
94883	76967.3884
96083	47218.32398
97283	69950.21385
98483	76759.44489
