14483	3610389.89380834	0	17855.744519157
15683	3455030.58404831	0	17247.0715426558
16883	3362675.67418063	0	16837.5940004057
18083	3231386.11663694	0	16399.5245100682
19283	3078937.0587358	0	15986.9835448087
20483	2952972.02213694	0	15620.0292314741
21683	2845037.41810741	0	15307.7789004494
22883	2705286.97796646	0	14910.1903570212
24083	2615652.67948566	0	14676.7866991658
25283	2474764.39651267	0	14272.196046002
26483	2391563.28635151	0	14001.5936801758
27683	2288077.93954985	0	13689.270410508
28883	2183221.34625829	0	13388.2526305175
30083	2100326.57839807	0	13132.7485638089
31283	2012566.80304442	0	12852.7371130255
32483	1922764.74568454	0	12572.0692144543
33683	1867010.44691432	0	12355.9520150088
34883	1778389.99557233	0	12046.1815978487
36083	1735210.31886908	0	11894.3962815997
37283	1633402.56085825	0	11580.5413004271
38483	1582651.85300331	0	11382.5858231085
39683	1509450.6308084	0	11128.102897403
40883	1453616.09953079	0	10911.6210047421
42083	1390502.29167381	0	10668.8082619293
43283	1321341.87030552	0	10395.9447981677
44483	1283399.1881754	0	10243.4300954878
45683	1214019.95087787	0	10001.8573096074
46883	1183378.42692003	0	9844.96628834267
48083	1149987.11611809	0	9685.15772135481
49283	1103547.08206916	0	9487.42105996536
50483	1040929.25698513	0	9233.22988883217
51683	1007399.36276133	0	9069.26381918869
52883	960164.297502838	0	8852.34429466932
54083	908224.689765693	0	8631.4860834236
55283	878531.368167896	0	8496.84134829825
56483	828159.941256967	0	8241.62903616192
57683	818094.408511951	0	8172.84789573765
58883	767635.455229327	0	7958.55416236912
60083	748875.636229196	0	7838.78891043205
61283	721827.069829473	0	7673.50994521316
62483	670033.339378488	0	7437.55343484992
63683	660058.979937322	0	7353.96574988044
64883	627957.224345028	0	7196.78297404341
66083	607160.958430108	0	7045.46446511
67283	581495.308703179	0	6933.00766520953
68483	569888.582429886	0	6838.56671014977
69683	524317.247620041	0	6594.68176928375
70883	513752.814556359	0	6505.66744926913
72083	491238.114210478	0	6339.87791354868
73283	472286.466579047	0	6245.66306828247
74483	444714.200722011	0	6042.25178046145
75683	427904.031651403	0	5935.69571678613
76883	430073.956283028	0	5925.7031226842
78083	393669.550135456	0	5698.26584583269
79283	391746.887503872	0	5678.00349078511
80483	374128.558267939	0	5540.9444865738
81683	360476.632442688	0	5452.60849593982
82883	349990.243727102	0	5357.51838695666
84083	326797.214000578	0	5160.60593223404
85283	312692.339201802	0	5089.50534295984
86483	306643.537531191	0	5013.16775911248
87683	293583.144101318	0	4940.83450677023
88883	272934.214245419	0	4768.02097972119
90083	265530.941972816	0	4687.1757877315
91283	254797.291257189	0	4596.57140529775
92483	249292.611863955	0	4497.09039000118
93683	233956.53276999	0	4395.58168042697
94883	219801.330307488	0	4283.61356943513
96083	216067.601168232	0	4325.21777144787
97283	213439.621858066	0	4376.2310584179
98483	199592.949855792	0	4277.23873202997
99683	189263.379222827	0	4181.98815803203
100902	191002.96586028	0	3989.85318443113
102102	175229.254907837	0	3825.39113201474
103302	175936.030359281	0	3820.19060676316
104502	168299.354428823	0	3720.37407370841
105702	161499.284734491	0	3639.57264490459
106902	153549.70202522	0	3571.9804043625
108102	141393.747769536	0	3472.14928357914
109302	132592.241709094	0	3387.81762445026
110502	132836.586163411	0	3329.37918361469
111702	123115.323813732	0	3223.53791864156
112902	127390.25768464	0	3217.24331374375
114102	124133.547271126	0	3208.6000845388
115302	113237.972767862	0	3081.52638056514
116502	104247.555621842	0	2950.09094573528
117702	106789.467333174	0	2999.28806049262
118902	96872.0000336101	0	2893.51244029826
120102	92928.9369887147	0	2842.63773675008
121302	94830.4474138058	0	2845.75221680959
122502	84994.6713944912	0	2699.89681224286
123702	86005.6009875776	0	2671.89566716452
124902	76840.8604845973	0	2567.06095546588
126102	77981.6208623658	0	2567.86328053976
127302	69129.8600768412	0	2450.91346022557
128502	65134.8647180729	0	2429.58620098903
129702	69591.9263807519	0	2420.49804606128
130902	73726.3804250887	0	2470.42454724942
132102	61930.7430662192	0	2312.07475312312
133302	57918.1694944687	0	2246.97701417437
134502	57405.3378949744	0	2191.20083381123
135702	56556.4779668114	0	2253.92806685988
136902	55501.5663719479	0	2173.05369941297
138102	52000.8032586885	0	2099.85247721805
139302	53602.4629220784	0	2061.1585270642
140502	43735.833856741	0	1987.92083554775
141702	45324.8021962351	0	2016.4763143135
142902	47819.0120349928	0	2008.90528316182
144102	41870.3551213314	0	1922.4511095193
145302	41257.3058262454	0	1869.41012827165
146502	38189.0688664495	0	1843.45855906385
147702	38064.0520322106	0	1855.37673334309
148902	36343.867073816	0	1795.56704601763
150102	39417.3556159137	0	1872.72154266747
151302	32376.3695834888	0	1698.19395750606
152502	38469.8826423068	0	1746.61062878245
153702	25241.5115174202	0	1521.27398485164
154902	31248.8111001178	0	1592.84867530587
156102	29627.3121258102	0	1625.35013466224
157302	25632.8273375435	0	1493.23637045175
158502	25272.8021953014	0	1453.98079274619
159702	21507.92825545	0	1482.52897764763
160902	18629.4047063047	0	1405.76834967042
162102	23162.614312359	0	1406.24245085044
163302	19877.9683985451	0	1333.04122865552
164502	19140.1940237927	0	1347.51954930687
165702	18973.237469783	0	1301.43691460904
166902	23000.909340651	0	1351.18836305379
168102	21674.7389321736	0	1339.56923721117
169302	13324.2854405366	0	1165.28234957193
170502	14350.823903242	0	1260.99243702127
171702	15084.9513458405	0	1239.85481825674
172902	14955.8499475892	0	1176.52219447053
174102	17185.5113278964	0	1311.07210935988
175302	12068.6466999174	0	1072.38039988116
176502	13456.3773231541	0	1208.79754403335
