77392.3 318.16
73787.1 311.898
71542.8 307.82
68415.2 302.167
65192.5 296.833
63249.3 293.01
60838.5 288.193
58211 282.702
55427 278.7
53594.3 273.806
51348 269.484
48544.3 265.005
46789.7 260.825
45894.9 257.984
43462.1 254.051
41476.5 249.179
40367.5 246.458
38315.2 242.635
36609.7 238.925
35615.5 235.686
34248.1 232.084
32994.3 230.364
31389.8 226.026
30091.6 224.113
28599.7 218.915
27729.1 217.362
26727.8 214.359
25210 210.279
24879.9 209.617
23442.5 204.709
22748.2 203.787
21917.2 200.612
20799.7 199.025
20193.8 197.064
19142.4 194.633
18829.6 192.023
17569.9 189.309
17174 187.521
16000.2 184.82
15834.9 183.698
14794.2 181.564
14390.7 180.552
14088.7 177.466
13252.6 175.318
12931.8 175.058
12193.4 173.997
11942.7 172.375
11291.7 169.732
10807 167.911
10466.3 166.515
10095.5 165.672
9799.96 164.808
9266.2 162.55
9008.77 161.836
8892.46 160.956
8167.13 159.542
7909.05 157.353
7245.01 156.74
7099.51 154.91
7045.61 155.127
6837.84 153.997
6503.32 153.857
6177.28 152.741
6124.96 150.148
6008.56 150.34
5703.89 149.143
5138.66 147.977
4932.39 146.874
5176.4 147.231
4989.75 146.741
4869.01 146.278
4206.68 144.586
273.623 101.23
