4256.83  142.557
4214.79  143.086
3857.87  142.03
3945.67  140.948
3683.71  140.634
3414.71  139.388
3237.24  138.497
3141.53  140.222
3124.66  137.237
2949.51  137.218
3029.73  135.419
2762.98  135.398
2824.66  134.686
2870.19  134.8
2618.41  135.333
2434.83  133.336
2542.52  134.035
2365.31  133.825
2356.51  132.029
1922.86  132.183
1731.01  130.919
1964.77  131.319
1967.95  131.729
1845.97  130.176
1682.86  129.908
1602.2  130.183
1919.44  130.039
1744.34  129.098
1288.13  128.707
1929.33  128.955
1300.76  128.308
1376.06  128.468
1877.44  128.338
1666.71  126.352
1224.57  128.15
1221.94  127.962
1128.92  127.666
1156.98  127.154
1371.67  127.591
1128.39  124.898
1045.51  126.194
1114.3  125.267
1121.48  124.884
977.727  125.275
959.293  126.228
811.295  125.295
1198.58  124.184
860.266  124.417
1151.65  123.566
888.446  123.913
625.582  124.844
766.799  124.588
735.794  123.272
942.669  124.981
738.343  122.368
509.25  121.648
273.623  101.23
